text,label,stars
" Halo
 blibli. Sedikit saran untuk gratis ongkirnya yg minimum 200rb peritem 
Di ubah jadi minum dr total belanja 200rb. Jd bisa beli produk yg sama 
dengn jumlah bnyak. Atau pun bisa beli produk yg berbeda dlam jumlah 
banyak. Sy harap bisa di terapkan  Makasih",neg,4
 So far so good. Respon cepat.,pos,5
 thank,neg,3
 Aplikasi sering not responding di hp saya (asus zenfone t001f),neg,2
 Gak ada komentar.,pos,5
 Sangat bagussss,pos,5
 Thanks for your help and support,neg,4
 The appplication is easy to use,pos,5
 Gud,pos,5
 Gooooooood,pos,5
" Keren ih masa ongkir 200rb lebih digratisin, ga ada marketplace lain yg mau kaya gini. Salut",pos,5
 Cheap,pos,5
 not bad than jd.id,pos,5
 Love it,pos,5
" So far aplikasi ini bagus bgt koq, barang lengkap n proses cepat dan praktis..semoga gak ada gangguan apa2 Di aplikasinya..",pos,5
 olshop yg sering kasi voucher belanja.. 😍 thanks blibli,pos,5
 mudah2an di acc ya,pos,5
 Very good👍,pos,5
 Superb,pos,5
 Love It,pos,5
" kaga bs diinstall,, gagal trs",neg,1
 Very user friendly,pos,5
 Okeeeeyyy.....,neg,4
" Online
 store memungkinkan harga yg jauhhh lbh murah ketimbang toko fisik. 
Plus, ditambah promo hari nasional tertentu-- kian menguntungkan 
konsumen. Thank you",pos,5
 Easy to use and Safty,pos,5
 good,pos,5
 Great app,pos,5
"Masih bisa lebih baik Kurang
 untuk menu tracking order baik di app maupun web. Link promo dari email
 masih tidak sesuai. Update terbaru lumayan melengkapi app.",neg,4
 Good android app,pos,5
 the most loyal marketplace to costumer 😍,pos,5
" User Friendly, Help us to choose the properly product",pos,5
 Gratis ongkos kirimnya mantap.,pos,5
 good appd,pos,5
" customer
 gak bisa komunikasi sama penjual, CS kerjanya gak becus kalo ada 
masalah. saya complain apa jawabnya apa. kalo gak di desak gak bakal 
kerja CS-nya. 👎👎👎👎👎👎👎👎",neg,1
 bagus ada baju Naura,pos,5
 Good app,pos,5
 Update terbaru aplikasi sdh tidak error lg. Thx blibli,pos,5
Always happy to shop here Mudah.. cepat..apalagi dikirim cuma dalam 2 hari.. itu menyenangkan sekaliiii... I am a happy customer,pos,5
 very good app,pos,5
 Awesome,pos,5
 Good app,pos,5
" Dulu
 saya suka belanja di blibli karena benar2 free ongkir dan dapat poin. 
Tapi sekarang ga ada bedanya sama online shop laen. Saran aja, Ga usah 
pake iklan Gratis Ongkos Kirim tapi pake syarat yg ribet. Kalo harus 
bayar ongkir yah ga usah boongin user. 1 bintang aja cukup.",neg,1
 it's a really good app...very helpfull..,pos,5
 Good,pos,5
 Aplikasi memuaskan dan memudahkan saya berbelanja apa pun.,pos,5
Error Tidak bs melanjutkan ke proses pembayaran setelah update juga sama,neg,2
 ok,pos,5
 Good,pos,5
 Woewww,pos,5
 Like itt.. Kove it...,pos,5
 Nice apps,pos,5
 great,pos,5
 😀😀😀,neg,3
 mantap dan sangat membantu,pos,5
 Sukaaaak,pos,5
 Murah nya beneran Tp pas klo lg ada promo loh ya,pos,5
 Good,pos,5
 Best ever,pos,5
"Tidak bisa verifikasi nomer handphone Sudah
 memasukkan nomer handphone dengan benar tapi saat melakukan verifikasi 
nomer, sama sekali tidak menerima kode digit setelah dicoba berulang 
kali. Bagaimana solusinya? Apakah sedang error?",neg,2
 Good,pos,5
 Good yerpercya dengan blili gak takut ketipu elektronik,pos,5
Blibli emang mantap dan no.1 banyak promo dg kode voucher dan cepat pengirimannya,pos,5
 This app is so Good!! Very excited!!,pos,5
" For some goods such as home appliance, blibli is the best place to go due 
to its free shipping to all over the country",pos,5
 Terpercaya. Packing bagus.,pos,5
 Appnya lancar,pos,5
 pay with gopay is great,pos,5
" simpel barang macam2 hrg bersaing kwalitas merchant Oke, delivery ontime. Pertahankan dan tingkatkan terus !!!",pos,5
" pengalaman belanja di bliblimart, free ongkir. keren. oke",pos,5
" Aplikasi sangat membantu, dan banyak promo nya.",pos,5
" Aplikasi tidak bisa digunakan..setiap masuk ke aplikasi, aplikasi langsung error..mohon tindaklanjutnya. Terima kasih",neg,1
 Pengiriman cepat applikasi easy to use,pos,5
" Aplikasi user friendly, respon cepat, keluhan juga cepat di respon oleh 
Blibli 👍",pos,5
 App keeps closing (samsung s8),neg,1
 Ok,pos,5
" Masukan
 : promo agar dapat di filter dengan menu search, tambahkan menu 
checklist di cart, tambahkan menu pencarian nama merchant. Satu lagi, 
terkadang kalau difilter atau di sort tetap tidak ada perubahan urutan 
list itemnya. Tapi pengirimannya sih the best kalo dikirim oleh blibli 
bukan merchant. ...Full ReviewMasukan
 : promo agar dapat di filter dengan menu search, tambahkan menu 
checklist di cart, tambahkan menu pencarian nama merchant. Satu lagi, 
terkadang kalau difilter atau di sort tetap tidak ada perubahan urutan 
list itemnya. Tapi pengirimannya sih the best kalo dikirim oleh blibli 
bukan merchant. Kesimpulan : this is my favorite marketplace so far.",neg,4
 Hhhhihihi,neg,4
 gratis ongkir k sluruh indonesia,neg,4
" Good application, good service, good shipping and good shopping.",pos,5
 Simpel & oke,pos,5
 Sangat memuaskan termasuk free delivery...tquuu,pos,5
" Penjual
 (toko di surabaya) tdk mng updte stock barang(tas) yg di jual bgtu sdh 
dibeli besoknya dtlp tas yg dipesan habis n ditwrkn tas yg lain dgn 
harga sma.jd pembeli mau tdk mau hrs trima utk tukar tas yg lainnya 
(lusa tas dtg) krn apa krn sibuk lg utk komplain dsb.smpe skrg status 
tas tsb msh ada...Full ReviewPenjual
 (toko di surabaya) tdk mng updte stock barang(tas) yg di jual bgtu sdh 
dibeli besoknya dtlp tas yg dipesan habis n ditwrkn tas yg lain dgn 
harga sma.jd pembeli mau tdk mau hrs trima utk tukar tas yg lainnya 
(lusa tas dtg) krn apa krn sibuk lg utk komplain dsb.smpe skrg status 
tas tsb msh ada stock.",neg,3
" Pengiriman
 standard udh ga free ongkir lg? Masa iya ongkir lebih mahal drpd harga 
barang. Pdhl terakhir belanja bln Feb masih free ongkir",neg,2
Love Semua yg saya cari ada disini,pos,5
 Simple,neg,4
 Promonya ok,pos,5
 love this app. Its easy to use 👌,pos,5
" setelah
 di update versi terbaru, aplikasi tidak dapat di pakai dan selalu 
muncul notif telah terjadi kesalahan, mohon coba kembali",neg,2
 Lebih bagus kalau memang semua produk gratis ongkir,neg,4
 Nice,pos,5
 great app,pos,5
 Good app,pos,5
 Bagus bgt,pos,5
" Selalu
 suka belanja di blibli, prosesnya selalu cepet, gambarnya rapih dan 
enak di liat. Gratis ongkir tanpa minimal atau maximal pembelian 
MANTUL!!!",pos,5
 good,pos,5
 Sangat membantu memudahkan berbelanja. Good job..,pos,5
 Baru kali ini belanja pake blibli.. trnyata oke juga apalagi ada promo sakuku.. bayar bisa pake sakuku.. enak jd lebih mudah..,pos,5
Mantep app nya Mantep app dan diskonnya,pos,5
 Kemudahan filture layanan iklan pemakaian mudah,pos,5
 Easy to use,pos,5
 Ganggu aja ... muncul iklan terus,neg,1
" JANGAN
 PERNAH BOOKING VIA BLIBLI TRAVEL!! sistem booking blibli menggunakan 
agen pihak ketiga yang bisa seenaknya cancel bookingan.. benerin dulu 
sistem nya baru launching ke umum.. cukup sekali aja pake blibli 
travel.. kalo bisa taro 0 bintang pasti saya pilih 0.. *thumbs down*",neg,1
 Good app. Thx u,pos,5
 Tanggal lahir saya 21 feb 1981.........anda tau berapa kali klik saya pencet untuk mencapai tanggal tersebut di kalender.,neg,2
"Perhitungan ongkir timur yang aneh *chatlama
 Kenapa kami harus beli barang yg harga satuannya di atas 200 ribu 
sehingga utk satu barang bisa ditanggung ongkir 200 ribu. Utk barang 
bervolume kecil kenapa ketika pembelian dengan jumlah dua keatas 
ongkirnya melonjak drastis. Seharusnya ada sistem volume per barang 
sehingga realistis dal...Full Review*chatlama
 Kenapa kami harus beli barang yg harga satuannya di atas 200 ribu 
sehingga utk satu barang bisa ditanggung ongkir 200 ribu. Utk barang 
bervolume kecil kenapa ketika pembelian dengan jumlah dua keatas 
ongkirnya melonjak drastis. Seharusnya ada sistem volume per barang 
sehingga realistis dalam perhitungan ongkir nya. Terima kasih | oke 
saran saya harus diperjelas berat/volume barang agar perhitungan 
ongkirnya jelas. Terima kasih atas tanggapannya",neg,3
 Good,pos,5
 good apps,neg,4
 Good,pos,5
" Udah email cs 2 hari belum ditanggapi, tks",neg,1
 So many promos on Blibli,pos,5
 Simple,pos,5
" Lelang apaan cacad?!?!?!?!? Inimah bukan lelang, inimah pencet"" berhadiah. Coba liat acara lelang di youtube min biar ga kudet",neg,1
 Helpfull,pos,5
 Great service,pos,5
" UX
 jelek, susah buat cari halaman transaksi, kemarin bingung buat cari 
halaman transaksi buat ngecek nmr VA, untung masih kesimpen di 
clipboard, kalo gk ya gak bayar transaksinya,",neg,1
" Pengiriman
 paling cepat dari semua online store dan free ongkirnya juga kirim 
barangnya cepet, CS-nya juga ngebantu banget. Pernah sekali pesen barang
 dan stoknya kosong dan tetiba dapet voucher, gak kayak ditempat lain, 
minta maaf aja enggak. Kurangnya cuma peoduknya kurang banyak/lengkap, 
kalo sem...Full ReviewPengiriman
 paling cepat dari semua online store dan free ongkirnya juga kirim 
barangnya cepet, CS-nya juga ngebantu banget. Pernah sekali pesen barang
 dan stoknya kosong dan tetiba dapet voucher, gak kayak ditempat lain, 
minta maaf aja enggak. Kurangnya cuma peoduknya kurang banyak/lengkap, 
kalo semua produk ada disini kayaknya bakalan terus pesen disini aja.",pos,5
 Pertahankan free delivery nya,pos,5
 Sering order di Blibli. Blibli cocok jadi unicorn👍,pos,5
 program cashback bersifat jebakan untuk konsumen,neg,1
" Pesen tiket KA jkt-bandung,eh trnyt pas dibeli jkt-cimahi 😑😑",neg,1
" Aplikasi yg bagus, proses cepat, yg utama ada call centre nya yg siap 
membantu setiap saat, gak kayak aplikasi ijo sebelah",pos,5
 aplikasi yang mantul (mantap betul),pos,5
 Bagus mudah dipake dan banyak promo pastinya,pos,5
 good,pos,5
 So far good xixi love it!,pos,5
 Good,pos,5
 satisfied,pos,5
 Good,pos,5
 good,neg,4
 cukup membantu dalam mencari barang-barang kebutuhan yang diinginkan,pos,5
" Selalu
 puas belanja di blibli. Pernah mengalami masalah yaitu pesanan tidak 
datang karna ada kesalahan dari pedagang, namun ditangani oleh blibli 
friend dengan cepat",pos,5
 mantap promo dan diskonnya! + free ongkir,pos,5
 Easy to use. Gratis ongkir dan pengiriman cepat. Nggak ngerti lagi nggak ada sehari udah sampe aja. Sugoi.,pos,5
" mencari produk di desktop, pembayaran di app.. selagi banyak promo.. saat ini, bagi saya blibli adalah yang terbaik... :)",pos,5
 Banyak discount...free ongkir..,neg,4
Like it Good app. Nice price on products. Good service as well. Thanks blibli,pos,5
 great,neg,3
 Good application for online shop,pos,5
 Enjoy,pos,5
 feel safe when u buy items from blibli..  very satisfied..!!,pos,5
" Pesen
 barang di blibli. Sudah bayar. Pas mau liat menu ""pesanan saat ini""  
gak ada pesanan saya. Padahal sudah bayar. Trus gmna itu pesanan saya? 
Duitnya kemana itu? Tolong diproses",neg,1
 Simple online shopping. Easy navigation,neg,4
 good,pos,5
 Terlalu sering update.. Dan kadang hasil update nya gak terlalu penting.,neg,2
 Nice,pos,5
 good,pos,5
" easy use app, many more promotion.",pos,5
" please i don't like fake Levi's in this app, just only for Original Levi's",pos,5
 oke dan membantu,pos,5
 bikin aplikasi kok bentar2 minta update.. ga ada pilihan selain update ato keluar. jebakan bgt..,neg,3
" Button share nya bodoh, bukannya kasih link biar bisa dilihat orang lain, 
malah kasih screenshot, semua hape bisa screenshot ga perlu repot2 buat 
button sendiri",neg,1
" good aplication,free delivery,can use instalmnt 0% up 24month",pos,5
 Great App,pos,5
 Actuality been using this app for years now and still haven't found any issues,pos,5
 Simple n ok,pos,5
 sukaaaaaaaaa,pos,5
 loading nya selalu kelamaan tiap pilih2 barang di catalog,neg,1
" Blibli banyak diskon, free ongkir. Top dechh",pos,5
Yess Yuuu,neg,4
 barangnya bagus2,pos,5
" Walaupun
 blibli memberi kesan hanya menjual barang ori, banyak produk yang 
sebenarnya gak ori. Contohnya dompet Bottega Venetta atau Braun Buffel 
dengan harga 300an itu jelas palsu tapi tidak ditulis di deskripsinya 
(aslinya harga 2-5 jutaan). Ataupun earphone yang dicap earphone apple 
tapi harganya...Full ReviewWalaupun
 blibli memberi kesan hanya menjual barang ori, banyak produk yang 
sebenarnya gak ori. Contohnya dompet Bottega Venetta atau Braun Buffel 
dengan harga 300an itu jelas palsu tapi tidak ditulis di deskripsinya 
(aslinya harga 2-5 jutaan). Ataupun earphone yang dicap earphone apple 
tapi harganya murah cuma 50an dan made in china (pernah beli). Parfum 
juga ada yang KW seperti merek Bvlgary yang seharusnya harga 700an lebih
 tapi dijual 100an disini (cek review produknya)",neg,3
 Mahal,neg,1
 Nice shoping apps in indonesia,pos,5
 👍👍,pos,5
